StartTime,EndTime,Duration,F_Min,F_Max,OverlapParents,ClusterID
0.034829931972789115,0.18575963718820862,0.1509297052154195,3359.1796875,6136.962890625,None,0
0.4295691609977324,0.5688888888888889,0.13931972789115646,6546.09375,9474.609375,None,1
0.8010884353741496,0.9752380952380952,0.17414965986394557,6541.30859375,9443.505859375,Reconstructed,1
0.8010884353741496,0.9752380952380952,0.17414965986394557,3326.8798828125,6153.11279296875,Reconstructed,0
1.4164172335600906,1.555736961451247,0.13931972789115646,6546.09375,9453.076171875,None,1
1.6602267573696146,1.799546485260771,0.13931972789115646,3359.1796875,6158.49609375,None,0
1.9272562358276644,2.066575963718821,0.13931972789115646,6546.09375,9431.54296875,None,1
2.36843537414966,2.5425850340136056,0.17414965986394557,6541.30859375,9443.505859375,Reconstructed,1
2.36843537414966,2.5425850340136056,0.17414965986394557,3326.8798828125,6153.11279296875,Reconstructed,0
2.972154195011338,3.0998639455782313,0.12770975056689343,6546.09375,9431.54296875,None,1
3.2043537414965986,3.3436734693877552,0.13931972789115646,3359.1796875,6136.962890625,None,0
3.436553287981859,3.575873015873016,0.13931972789115646,6524.560546875,9431.54296875,None,1
4.005442176870749,4.214421768707483,0.2089795918367347,3326.8798828125,6153.11279296875,Reconstructed,0
4.005442176870749,4.214421768707483,0.2089795918367347,6541.30859375,9443.505859375,Reconstructed,1
4.446621315192743,4.574331065759637,0.12770975056689343,6546.09375,9431.54296875,None,1
4.876190476190477,5.050340136054421,0.17414965986394557,3326.8798828125,6153.11279296875,Reconstructed,0
4.876190476190477,5.050340136054421,0.17414965986394557,6541.30859375,9443.505859375,Reconstructed,1
5.410249433106576,5.5495691609977325,0.13931972789115646,6546.09375,9453.076171875,None,1
5.7817687074829935,5.979138321995465,0.19736961451247165,3326.8798828125,6153.11279296875,Reconstructed,0
5.7817687074829935,5.979138321995465,0.19736961451247165,6541.30859375,9443.505859375,Reconstructed,1
6.246167800453515,6.3854875283446715,0.13931972789115646,6546.09375,9431.54296875,None,1
6.548027210884354,6.6525170068027215,0.10448979591836735,3229.98046875,6180.029296875,None,0
6.826666666666667,6.965986394557823,0.13931972789115646,6524.560546875,9453.076171875,None,1
7.337505668934241,7.476825396825397,0.13931972789115646,3326.8798828125,6153.11279296875,Reconstructed,0
7.337505668934241,7.476825396825397,0.13931972789115646,6541.30859375,9443.505859375,Reconstructed,1
